epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.28074,1.02362,1.98993,1.26139,0.62044,0.85,0.79908,0.61194,1.60699,1.10611,1.37022,0,0,0.1
2,9.33633,1.10328,2.11407,1.39603,0.61575,0.85,0.79945,0.61647,1.61574,1.10014,1.37097,8.7625e-05,8.7625e-05,0.0990876
3,11.4597,0.81421,1.50534,1.14101,0.62306,0.85,0.84425,0.64237,1.59821,1.07986,1.36121,0.0001505,0.0001505,0.0981505
4,13.3725,1.03362,1.7888,1.42522,0.64603,0.85,0.84686,0.64275,1.59215,1.05308,1.35386,0.000188625,0.000188625,0.0971886
5,15.2325,1.01427,1.46278,1.28664,0.68042,0.85,0.84662,0.64476,1.57373,1.02981,1.34355,0.000202,0.000202,0.096202
6,17.0319,0.95168,2.45684,1.4687,0.74237,0.93333,0.92626,0.65237,1.56278,1.02127,1.32667,0.000190625,0.000190625,0.0951906
7,18.8379,0.67244,1.35949,1.14024,0.74499,0.93333,0.92715,0.64624,1.55928,1.017,1.31734,0.0001545,0.0001545,0.0941545
8,21.0367,0.96968,1.38428,1.40105,0.7486,0.93333,0.92772,0.65534,1.55082,1.01587,1.31175,9.3625e-05,9.3625e-05,0.0930936
