epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.3106,1.07671,1.04485,1.14744,0.75845,0.71401,0.78963,0.60419,0.93169,0.80699,1.005,0.0003,0.0003,0.0853
2,104.237,1.09498,1.03624,1.12709,0.80261,0.7099,0.80566,0.61901,0.91996,0.78666,0.99936,0.000543275,0.000543275,0.0695433
3,155.394,1.04983,0.97704,1.13394,0.7646,0.73743,0.80656,0.62201,0.91013,0.78058,0.99484,0.00070735,0.00070735,0.0537074
4,210.101,1.04443,0.95635,1.1173,0.75435,0.75646,0.80609,0.62579,0.90418,0.76536,0.99304,0.000792225,0.000792225,0.0377922
5,265.264,1.05597,0.98467,1.13384,0.76395,0.74898,0.8092,0.63053,0.89394,0.74928,0.98769,0.0007979,0.0007979,0.0217979
6,323.152,1.03568,0.9782,1.13613,0.77445,0.75153,0.81803,0.63502,0.88769,0.73725,0.98492,0.000724375,0.000724375,0.00572438
7,378.201,1.04612,0.92335,1.11498,0.78666,0.74463,0.81449,0.63979,0.88087,0.72662,0.98202,0.000515,0.000515,0.000515
8,432.787,1.03989,0.98658,1.11276,0.79718,0.73978,0.81765,0.64155,0.87463,0.72168,0.98106,0.0002675,0.0002675,0.0002675
